transaction_id,event_time,amount,currency,channel,rail,transaction_type,status,customer_id,merchant_id,device_id,session_id,ip_address,billing_country,shipping_country,merchant_category,payment_method_type,auth_result,risk_score,label,attack_id,attack_bucket,attack_subtype,scenario_id,simulation_segment
txn_d58445bb0cd3,2026-08-17T00:00:00+00:00,39.06,USD,marketplace,wallet,purchase,approved,cust_d58445bb0cd3,merch_d58445bb0cd3,dev_d58445bb0cd3,sess_d58445bb0cd3,198.51.100.121,DE,DE,retail,wallet,approved,0.1605,0,,,,,routine_benign
txn_909a56b4acdb,2026-08-17T00:17:00+00:00,41.26,SGD,wallet,wallet,purchase,approved,cust_d58445bb0cd3,merch_909a56b4acdb,dev_d58445bb0cd3,sess_909a56b4acdb,198.51.100.37,DE,DE,marketplace,credit_card,approved,0.2472,0,,,,,routine_benign
txn_754b6b44764b,2026-08-17T00:46:00+00:00,321.54,INR,ecommerce,card,purchase,declined,cust_d58445bb0cd3,merch_754b6b44764b,dev_d58445bb0cd3,sess_754b6b44764b,198.51.100.164,US,GB,electronics,credit_card,soft_decline,0.4143,0,,,,,atypical_benign
txn_9b476c04e751,2026-08-17T00:21:00+00:00,10.59,INR,mobile_app,p2p,purchase,approved,cust_d58445bb0cd3,merch_9b476c04e751,dev_d58445bb0cd3,sess_9b476c04e751,198.51.100.19,SG,SG,digital_goods,bank_account,approved,0.3645,0,,,,,atypical_benign
txn_df59a780e260,2026-08-17T00:44:00+00:00,47.61,EUR,wallet,wallet,purchase,approved,cust_909a56b4acdb,merch_df59a780e260,dev_d58445bb0cd3,sess_df59a780e260,198.51.100.43,SG,SG,electronics,wallet,approved,0.0357,0,,,,,routine_benign
txn_25722f93497d,2026-08-17T01:40:00+00:00,23.42,USD,wallet,card,purchase,approved,cust_909a56b4acdb,merch_25722f93497d,dev_909a56b4acdb,sess_25722f93497d,198.51.100.78,US,US,electronics,wallet,approved,0.1307,0,,,,,routine_benign
txn_de780ac3df28,2026-08-17T01:12:00+00:00,9.77,INR,mobile_app,p2p,purchase,approved,cust_909a56b4acdb,merch_de780ac3df28,dev_909a56b4acdb,sess_de780ac3df28,198.51.100.13,DE,DE,marketplace,credit_card,approved,0.1656,0,,,,,routine_benign
txn_79b450855389,2026-08-17T02:55:00+00:00,41.63,USD,mobile_app,wallet,purchase,approved,cust_909a56b4acdb,merch_79b450855389,dev_909a56b4acdb,sess_79b450855389,198.51.100.75,IN,IN,financial_services,debit_card,approved,0.3413,0,,,,,routine_benign
txn_619300290f2b,2026-08-17T00:40:00+00:00,31.17,INR,ecommerce,p2p,purchase,approved,cust_754b6b44764b,merch_619300290f2b,dev_909a56b4acdb,sess_619300290f2b,198.51.100.177,IN,IN,marketplace,debit_card,approved,0.5084,0,,,,,atypical_benign
txn_199e1dff1473,2026-08-17T02:51:00+00:00,6.02,GBP,mobile_app,wallet,purchase,approved,cust_754b6b44764b,merch_199e1dff1473,dev_909a56b4acdb,sess_199e1dff1473,198.51.100.51,IN,IN,electronics,wallet,approved,0.2736,0,,,,,routine_benign
